Location,NAICS Code,NAICS Description,Total CBP and NES Establishments,CBP Establishments Percentage,NES Establishments Percentage,CBP Establishments
"Adair,  Kentucky",7225,Restaurants and Other Eating Places,20,80,20,16
"Allen,  Kentucky",7225,Restaurants and Other Eating Places,22,77.3,22.7,17
"Anderson,  Kentucky",7225,Restaurants and Other Eating Places,39,69.2,30.8,27
"Ballard,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,6
"Barren,  Kentucky",7225,Restaurants and Other Eating Places,86,84.9,15.1,73
"Bell,  Kentucky",7225,Restaurants and Other Eating Places,46,87,13,40
"Boone,  Kentucky",7225,Restaurants and Other Eating Places,267,93.3,6.7,249
"Bourbon,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,28
"Boyd,  Kentucky",7225,Restaurants and Other Eating Places,118,94.9,5.1,112
"Boyle,  Kentucky",7225,Restaurants and Other Eating Places,53,92.5,7.5,49
"Bracken,  Kentucky",7225,Restaurants and Other Eating Places,14,57.1,42.9,8
"Breathitt,  Kentucky",7225,Restaurants and Other Eating Places,13,61.5,38.5,8
"Breckinridge,  Kentucky",7225,Restaurants and Other Eating Places,19,68.4,31.6,13
"Bullitt,  Kentucky",7225,Restaurants and Other Eating Places,71,90.1,9.9,64
"Butler,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,11
"Caldwell,  Kentucky",7225,Restaurants and Other Eating Places,28,85.7,14.3,24
"Calloway,  Kentucky",7225,Restaurants and Other Eating Places,81,86.4,13.6,70
"Campbell,  Kentucky",7225,Restaurants and Other Eating Places,174,93.1,6.9,162
"Carlisle,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,7
"Carroll,  Kentucky",7225,Restaurants and Other Eating Places,24,75,25,18
"Carter,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,33
"Casey,  Kentucky",7225,Restaurants and Other Eating Places,13,76.9,23.1,10
"Christian,  Kentucky",7225,Restaurants and Other Eating Places,109,88.1,11.9,96
"Clark,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,53
"Clay,  Kentucky",7225,Restaurants and Other Eating Places,20,85,15,17
"Clinton,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,15
"Cumberland,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,6
"Daviess,  Kentucky",7225,Restaurants and Other Eating Places,176,87.5,12.5,154
"Edmonson,  Kentucky",7225,Restaurants and Other Eating Places,14,64.3,35.7,9
"Estill,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,17
"Fayette,  Kentucky",7225,Restaurants and Other Eating Places,709,91.5,8.5,649
"Fleming,  Kentucky",7225,Restaurants and Other Eating Places,10,60,40,6
"Floyd,  Kentucky",7225,Restaurants and Other Eating Places,53,81.1,18.9,43
"Franklin,  Kentucky",7225,Restaurants and Other Eating Places,99,87.9,12.1,87
"Fulton,  Kentucky",7225,Restaurants and Other Eating Places,12,75,25,9
"Gallatin,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,6
"Garrard,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,9
"Grant,  Kentucky",7225,Restaurants and Other Eating Places,33,90.9,9.1,30
"Graves,  Kentucky",7225,Restaurants and Other Eating Places,49,85.7,14.3,42
"Grayson,  Kentucky",7225,Restaurants and Other Eating Places,33,78.8,21.2,26
"Green,  Kentucky",7225,Restaurants and Other Eating Places,15,66.7,33.3,10
"Greenup,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,33
"Hancock,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,5
"Hardin,  Kentucky",7225,Restaurants and Other Eating Places,166,92.2,7.8,153
"Harlan,  Kentucky",7225,Restaurants and Other Eating Places,34,91.2,8.8,31
"Harrison,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,22
"Hart,  Kentucky",7225,Restaurants and Other Eating Places,21,61.9,38.1,13
"Henderson,  Kentucky",7225,Restaurants and Other Eating Places,73,91.8,8.2,67
"Henry,  Kentucky",7225,Restaurants and Other Eating Places,18,83.3,16.7,15
"Hopkins,  Kentucky",7225,Restaurants and Other Eating Places,78,79.5,20.5,62
"Jefferson,  Kentucky",7225,Restaurants and Other Eating Places,"1,581",91,9,"1,438"
"Jessamine,  Kentucky",7225,Restaurants and Other Eating Places,88,86.4,13.6,76
"Johnson,  Kentucky",7225,Restaurants and Other Eating Places,35,88.6,11.4,31
"Kenton,  Kentucky",7225,Restaurants and Other Eating Places,256,89.8,10.2,230
"Knott,  Kentucky",7225,Restaurants and Other Eating Places,15,60,40,9
"Knox,  Kentucky",7225,Restaurants and Other Eating Places,45,80,20,36
"Larue,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,11
"Laurel,  Kentucky",7225,Restaurants and Other Eating Places,92,90.2,9.8,83
"Lawrence,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,17
"Lee,  Kentucky",7225,Restaurants and Other Eating Places,10,40,60,4
"Leslie,  Kentucky",7225,Restaurants and Other Eating Places,9,44.4,55.6,4
"Letcher,  Kentucky",7225,Restaurants and Other Eating Places,27,74.1,25.9,20
"Lewis,  Kentucky",7225,Restaurants and Other Eating Places,11,63.6,36.4,7
"Lincoln,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,19
"Livingston,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,7
"Logan,  Kentucky",7225,Restaurants and Other Eating Places,39,82.1,17.9,32
"McCracken,  Kentucky",7225,Restaurants and Other Eating Places,178,92.7,7.3,165
"McCreary,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,13
"Madison,  Kentucky",7225,Restaurants and Other Eating Places,142,89.4,10.6,127
"Magoffin,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,12
"Marion,  Kentucky",7225,Restaurants and Other Eating Places,31,87.1,12.9,27
"Marshall,  Kentucky",7225,Restaurants and Other Eating Places,49,93.9,6.1,46
"Martin,  Kentucky",7225,Restaurants and Other Eating Places,14,78.6,21.4,11
"Mason,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,29
"Meade,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,21
"Menifee,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,2
"Mercer,  Kentucky",7225,Restaurants and Other Eating Places,29,82.8,17.2,24
"Metcalfe,  Kentucky",7225,Restaurants and Other Eating Places,14,57.1,42.9,8
"Monroe,  Kentucky",7225,Restaurants and Other Eating Places,21,81,19,17
"Montgomery,  Kentucky",7225,Restaurants and Other Eating Places,45,88.9,11.1,40
"Morgan,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,7
"Muhlenberg,  Kentucky",7225,Restaurants and Other Eating Places,48,79.2,20.8,38
"Nelson,  Kentucky",7225,Restaurants and Other Eating Places,63,85.7,14.3,54
"Nicholas,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,6
"Ohio,  Kentucky",7225,Restaurants and Other Eating Places,37,73,27,27
"Oldham,  Kentucky",7225,Restaurants and Other Eating Places,71,87.3,12.7,62
"Owsley,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,1
"Pendleton,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,9
"Perry,  Kentucky",7225,Restaurants and Other Eating Places,45,82.2,17.8,37
"Pike,  Kentucky",7225,Restaurants and Other Eating Places,94,87.2,12.8,82
"Powell,  Kentucky",7225,Restaurants and Other Eating Places,19,78.9,21.1,15
"Pulaski,  Kentucky",7225,Restaurants and Other Eating Places,98,86.7,13.3,85
"Rockcastle,  Kentucky",7225,Restaurants and Other Eating Places,19,84.2,15.8,16
"Rowan,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,40
"Russell,  Kentucky",7225,Restaurants and Other Eating Places,25,88,12,22
"Scott,  Kentucky",7225,Restaurants and Other Eating Places,84,89.3,10.7,75
"Shelby,  Kentucky",7225,Restaurants and Other Eating Places,65,83.1,16.9,54
"Simpson,  Kentucky",7225,Restaurants and Other Eating Places,40,90,10,36
"Spencer,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,14
"Taylor,  Kentucky",7225,Restaurants and Other Eating Places,33,90.9,9.1,30
"Todd,  Kentucky",7225,Restaurants and Other Eating Places,16,56.3,43.8,9
"Trigg,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,16
"Union,  Kentucky",7225,Restaurants and Other Eating Places,24,87.5,12.5,21
"Warren,  Kentucky",7225,Restaurants and Other Eating Places,250,86.8,13.2,217
"Washington,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,12
"Webster,  Kentucky",7225,Restaurants and Other Eating Places,15,80,20,12
"Whitley,  Kentucky",7225,Restaurants and Other Eating Places,D,D,D,54
"Wolfe,  Kentucky",7225,Restaurants and Other Eating Places,S,S,S,4
"Woodford,  Kentucky",7225,Restaurants and Other Eating Places,40,87.5,12.5,35
"Acadia Parish,  Louisiana",7225,Restaurants and Other Eating Places,88,69.3,30.7,61
"Allen Parish,  Louisiana",7225,Restaurants and Other Eating Places,25,76,24,19
"Ascension Parish,  Louisiana",7225,Restaurants and Other Eating Places,185,85.9,14.1,159
"Assumption Parish,  Louisiana",7225,Restaurants and Other Eating Places,12,75,25,9
"Avoyelles Parish,  Louisiana",7225,Restaurants and Other Eating Places,48,58.3,41.7,28
"Beauregard Parish,  Louisiana",7225,Restaurants and Other Eating Places,48,70.8,29.2,34
"Bienville Parish,  Louisiana",7225,Restaurants and Other Eating Places,D,D,D,12
"Bossier Parish,  Louisiana",7225,Restaurants and Other Eating Places,231,89.6,10.4,207
"Caddo Parish,  Louisiana",7225,Restaurants and Other Eating Places,460,84.6,15.4,389
"Calcasieu Parish,  Louisiana",7225,Restaurants and Other Eating Places,379,79.4,20.6,301
"Caldwell Parish,  Louisiana",7225,Restaurants and Other Eating Places,D,D,D,9
"Cameron Parish,  Louisiana",7225,Restaurants and Other Eating Places,13,23.1,76.9,3
"Catahoula Parish,  Louisiana",7225,Restaurants and Other Eating Places,11,54.5,45.5,6
"Claiborne Parish,  Louisiana",7225,Restaurants and Other Eating Places,13,76.9,23.1,10
"Concordia Parish,  Louisiana",7225,Restaurants and Other Eating Places,29,75.9,24.1,22
"De Soto Parish,  Louisiana",7225,Restaurants and Other Eating Places,32,71.9,28.1,23
"East Baton Rouge Parish,  Louisiana",7225,Restaurants and Other Eating Places,959,84.8,15.2,813
"East Carroll Parish,  Louisiana",7225,Restaurants and Other Eating Places,13,46.2,53.8,6
"East Feliciana Parish,  Louisiana",7225,Restaurants and Other Eating Places,19,63.2,36.8,12
"Evangeline Parish,  Louisiana",7225,Restaurants and Other Eating Places,27,59.3,40.7,16
"Franklin Parish,  Louisiana",7225,Restaurants and Other Eating Places,26,73.1,26.9,19
"Grant Parish,  Louisiana",7225,Restaurants and Other Eating Places,5,20,80,1
"Iberia Parish,  Louisiana",7225,Restaurants and Other Eating Places,109,71.6,28.4,78
"Iberville Parish,  Louisiana",7225,Restaurants and Other Eating Places,43,65.1,34.9,28
"Jackson Parish,  Louisiana",7225,Restaurants and Other Eating Places,D,D,D,13
"Jefferson Parish,  Louisiana",7225,Restaurants and Other Eating Places,"1,080",76.9,23.1,831
"Jefferson Davis Parish,  Louisiana",7225,Restaurants and Other Eating Places,48,87.5,12.5,42
"Lafayette Parish,  Louisiana",7225,Restaurants and Other Eating Places,629,79,21,497
"Lafourche Parish,  Louisiana",7225,Restaurants and Other Eating Places,136,73.5,26.5,100
"La Salle Parish,  Louisiana",7225,Restaurants and Other Eating Places,25,68,32,17
"Lincoln Parish,  Louisiana",7225,Restaurants and Other Eating Places,89,86.5,13.5,77
"Livingston Parish,  Louisiana",7225,Restaurants and Other Eating Places,189,74.6,25.4,141
"Madison Parish,  Louisiana",7225,Restaurants and Other Eating Places,D,D,D,9
"Morehouse Parish,  Louisiana",7225,Restaurants and Other Eating Places,D,D,D,22
"Natchitoches Parish,  Louisiana",7225,Restaurants and Other Eating Places,61,85.2,14.8,52
"Orleans Parish,  Louisiana",7225,Restaurants and Other Eating Places,"1,163",81.1,18.9,943
"Ouachita Parish,  Louisiana",7225,Restaurants and Other Eating Places,293,81.6,18.4,239
"Plaquemines Parish,  Louisiana",7225,Restaurants and Other Eating Places,52,63.5,36.5,33
"Pointe Coupee Parish,  Louisiana",7225,Restaurants and Other Eating Places,31,64.5,35.5,20
"Rapides Parish,  Louisiana",7225,Restaurants and Other Eating Places,227,81.9,18.1,186
"Red River Parish,  Louisiana",7225,Restaurants and Other Eating Places,11,63.6,36.4,7
"Richland Parish,  Louisiana",7225,Restaurants and Other Eating Places,27,63,37,17
"Sabine Parish,  Louisiana",7225,Restaurants and Other Eating Places,26,69.2,30.8,18
"St. Bernard Parish,  Louisiana",7225,Restaurants and Other Eating Places,86,73.3,26.7,63
"St. Charles Parish,  Louisiana",7225,Restaurants and Other Eating Places,84,73.8,26.2,62
"St. Helena Parish,  Louisiana",7225,Restaurants and Other Eating Places,D,D,D,2
"St. James Parish,  Louisiana",7225,Restaurants and Other Eating Places,D,D,D,21
"St. John the Baptist Parish,  Louisiana",7225,Restaurants and Other Eating Places,74,78.4,21.6,58
"St. Landry Parish,  Louisiana",7225,Restaurants and Other Eating Places,110,67.3,32.7,74
"St. Martin Parish,  Louisiana",7225,Restaurants and Other Eating Places,81,65.4,34.6,53
"St. Mary Parish,  Louisiana",7225,Restaurants and Other Eating Places,96,77.1,22.9,74
"St. Tammany Parish,  Louisiana",7225,Restaurants and Other Eating Places,555,87.2,12.8,484
"Tangipahoa Parish,  Louisiana",7225,Restaurants and Other Eating Places,239,80.8,19.2,193
"Tensas Parish,  Louisiana",7225,Restaurants and Other Eating Places,6,50,50,3
"Terrebonne Parish,  Louisiana",7225,Restaurants and Other Eating Places,219,85.8,14.2,188
"Union Parish,  Louisiana",7225,Restaurants and Other Eating Places,32,46.9,53.1,15
"Vermilion Parish,  Louisiana",7225,Restaurants and Other Eating Places,75,64,36,48
"Vernon Parish,  Louisiana",7225,Restaurants and Other Eating Places,63,81,19,51
"Washington Parish,  Louisiana",7225,Restaurants and Other Eating Places,73,64.4,35.6,47
"Webster Parish,  Louisiana",7225,Restaurants and Other Eating Places,64,76.6,23.4,49
"West Baton Rouge Parish,  Louisiana",7225,Restaurants and Other Eating Places,56,73.2,26.8,41
"West Carroll Parish,  Louisiana",7225,Restaurants and Other Eating Places,D,D,D,8
"West Feliciana Parish,  Louisiana",7225,Restaurants and Other Eating Places,19,73.7,26.3,14
"Winn Parish,  Louisiana",7225,Restaurants and Other Eating Places,15,80,20,12
"Androscoggin,  Maine",7225,Restaurants and Other Eating Places,199,91.5,8.5,182
"Aroostook,  Maine",7225,Restaurants and Other Eating Places,127,88.2,11.8,112
"Cumberland,  Maine",7225,Restaurants and Other Eating Places,850,93.3,6.7,793
"Franklin,  Maine",7225,Restaurants and Other Eating Places,78,91,9,71
"Hancock,  Maine",7225,Restaurants and Other Eating Places,202,89.6,10.4,181
"Kennebec,  Maine",7225,Restaurants and Other Eating Places,230,92.6,7.4,213
"Knox,  Maine",7225,Restaurants and Other Eating Places,128,92.2,7.8,118
"Lincoln,  Maine",7225,Restaurants and Other Eating Places,107,94.4,5.6,101
"Oxford,  Maine",7225,Restaurants and Other Eating Places,108,86.1,13.9,93
"Penobscot,  Maine",7225,Restaurants and Other Eating Places,259,92.3,7.7,239
"Piscataquis,  Maine",7225,Restaurants and Other Eating Places,D,D,D,35
"Sagadahoc,  Maine",7225,Restaurants and Other Eating Places,71,91.5,8.5,65
"Somerset,  Maine",7225,Restaurants and Other Eating Places,80,82.5,17.5,66
"Waldo,  Maine",7225,Restaurants and Other Eating Places,69,89.9,10.1,62
"Washington,  Maine",7225,Restaurants and Other Eating Places,65,81.5,18.5,53
"York,  Maine",7225,Restaurants and Other Eating Places,550,90.7,9.3,499
"Allegany,  Maryland",7225,Restaurants and Other Eating Places,133,92.5,7.5,123
"Anne Arundel,  Maryland",7225,Restaurants and Other Eating Places,"1,142",89.1,10.9,"1,018"
"Baltimore,  Maryland",7225,Restaurants and Other Eating Places,"1,538",86.9,13.1,"1,337"
"Calvert,  Maryland",7225,Restaurants and Other Eating Places,139,89.9,10.1,125
"Caroline,  Maryland",7225,Restaurants and Other Eating Places,35,80,20,28
"Carroll,  Maryland",7225,Restaurants and Other Eating Places,283,91.5,8.5,259
"Cecil,  Maryland",7225,Restaurants and Other Eating Places,144,88.9,11.1,128
"Charles,  Maryland",7225,Restaurants and Other Eating Places,240,86.7,13.3,208
"Dorchester,  Maryland",7225,Restaurants and Other Eating Places,53,81.1,18.9,43
"Frederick,  Maryland",7225,Restaurants and Other Eating Places,442,90,10,398
"Garrett,  Maryland",7225,Restaurants and Other Eating Places,65,90.8,9.2,59
"Harford,  Maryland",7225,Restaurants and Other Eating Places,383,89,11,341
"Howard,  Maryland",7225,Restaurants and Other Eating Places,602,83.6,16.4,503
"Kent,  Maryland",7225,Restaurants and Other Eating Places,48,91.7,8.3,44
"Montgomery,  Maryland",7225,Restaurants and Other Eating Places,"2,042",81.1,18.9,"1,657"
"Prince George's,  Maryland",7225,Restaurants and Other Eating Places,"1,419",82.9,17.1,"1,176"
"Queen Anne's,  Maryland",7225,Restaurants and Other Eating Places,80,92.5,7.5,74
"St. Mary's,  Maryland",7225,Restaurants and Other Eating Places,168,91.1,8.9,153
"Somerset,  Maryland",7225,Restaurants and Other Eating Places,D,D,D,17
"Talbot,  Maryland",7225,Restaurants and Other Eating Places,113,89.4,10.6,101
"Washington,  Maryland",7225,Restaurants and Other Eating Places,268,88.8,11.2,238
"Wicomico,  Maryland",7225,Restaurants and Other Eating Places,189,86.2,13.8,163
"Worcester,  Maryland",7225,Restaurants and Other Eating Places,329,92.1,7.9,303
"Baltimore city,  Maryland",7225,Restaurants and Other Eating Places,"1,371",85.5,14.5,"1,172"
"Barnstable,  Massachusetts",7225,Restaurants and Other Eating Places,858,93.6,6.4,803
"Berkshire,  Massachusetts",7225,Restaurants and Other Eating Places,393,93.6,6.4,368
"Bristol,  Massachusetts",7225,Restaurants and Other Eating Places,"1,126",92.6,7.4,"1,043"
"Dukes,  Massachusetts",7225,Restaurants and Other Eating Places,111,87.4,12.6,97
"Essex,  Massachusetts",7225,Restaurants and Other Eating Places,"1,705",88.2,11.8,"1,504"
"Franklin,  Massachusetts",7225,Restaurants and Other Eating Places,135,88.9,11.1,120
"Hampden,  Massachusetts",7225,Restaurants and Other Eating Places,835,86.7,13.3,724
"Hampshire,  Massachusetts",7225,Restaurants and Other Eating Places,347,93.7,6.3,325
"Middlesex,  Massachusetts",7225,Restaurants and Other Eating Places,"3,532",90.8,9.2,"3,208"
"Nantucket,  Massachusetts",7225,Restaurants and Other Eating Places,D,D,D,78
"Norfolk,  Massachusetts",7225,Restaurants and Other Eating Places,"1,505",89.7,10.3,"1,350"
"Plymouth,  Massachusetts",7225,Restaurants and Other Eating Places,"1,009",93.1,6.9,939
"Suffolk,  Massachusetts",7225,Restaurants and Other Eating Places,"2,237",91.2,8.8,"2,041"
"Worcester,  Massachusetts",7225,Restaurants and Other Eating Places,"1,585",89.5,10.5,"1,418"
"Alcona,  Michigan",7225,Restaurants and Other Eating Places,23,73.9,26.1,17
"Alger,  Michigan",7225,Restaurants and Other Eating Places,D,D,D,26
"Allegan,  Michigan",7225,Restaurants and Other Eating Places,180,87.8,12.2,158
"Alpena,  Michigan",7225,Restaurants and Other Eating Places,55,89.1,10.9,49
"Antrim,  Michigan",7225,Restaurants and Other Eating Places,47,89.4,10.6,42
"Arenac,  Michigan",7225,Restaurants and Other Eating Places,31,87.1,12.9,27
"Barry,  Michigan",7225,Restaurants and Other Eating Places,73,80.8,19.2,59
"Bay,  Michigan",7225,Restaurants and Other Eating Places,186,88.7,11.3,165
"Benzie,  Michigan",7225,Restaurants and Other Eating Places,D,D,D,37
"Berrien,  Michigan",7225,Restaurants and Other Eating Places,301,92.4,7.6,278
"Branch,  Michigan",7225,Restaurants and Other Eating Places,66,84.8,15.2,56
"Calhoun,  Michigan",7225,Restaurants and Other Eating Places,221,87.3,12.7,193
"Cass,  Michigan",7225,Restaurants and Other Eating Places,51,88.2,11.8,45
